transform,n_v10,n_v11,eq_mean_v10,eq_mean_v11,eq_mean_delta,eq_fail_v10,eq_fail_v11,eq_fail_delta,nat_mean_v10,nat_mean_v11,nat_mean_delta,nat_fail_v10,nat_fail_v11,nat_fail_delta,clean_v10,clean_v11,clean_delta
negative_framing,349,219,2.82,3.24,0.42,43.8,24.7,-19.2,3.64,3.58,-0.06,11.2,13.7,2.5,17.8,25.1,7.3
modal_should,348,347,3.46,3.62,0.17,23.3,19.6,-3.7,3.49,3.61,0.12,12.6,12.7,0.0,26.4,31.1,4.7
passive_voice,343,221,4.11,4.24,0.13,10.2,7.2,-3.0,3.0,3.19,0.18,36.2,30.3,-5.8,31.2,38.5,7.3
time_framed,351,242,3.15,3.33,0.18,19.7,7.0,-12.6,4.01,4.53,0.53,12.5,2.1,-10.5,31.3,37.2,5.9
