strategy,metric,n,min,p05,p25,median,p75,p95,max
llm_paraphrase,semantic_similarity,5154,0.1,0.56,0.74,0.83,0.89,0.94,1.0
llm_paraphrase,perplexity,5154,13.26,34.21,68.05,123.15,254.42,910.98,54385.8
constrained,semantic_similarity,5144,0.2,0.68,0.82,0.89,0.93,0.98,1.0
constrained,perplexity,5144,9.12,31.58,60.32,99.39,185.8,660.55,117894.5
mlm_substitution,semantic_similarity,5275,0.06,0.55,0.77,0.87,0.94,0.99,1.0
mlm_substitution,perplexity,5275,11.14,45.31,88.91,153.33,311.6,1174.85,87759.5
expansion,semantic_similarity,1389,0.08,0.33,0.52,0.64,0.75,0.85,1.0
expansion,perplexity,1389,13.41,39.5,85.84,154.39,327.85,1187.74,613649.9
